Dia da Semana;Horário Início;Horário Fim;Duração;Atividade;Categoria;Observações / Deslocamento
Segunda-Feira;07:00;07:35;0h35;Acordar;Pessoal;Saída às 07h35 (deslocamento 25 min)
Segunda-Feira;08:00;11:00;3h00;Trabalho;Trabalho;Turno da manhã
Segunda-Feira;11:00;12:00;1h00;Almoço;Alimentação;Pegar marmitas na prefeitura e almoçar às 11h
Segunda-Feira;12:00;18:00;6h00;Trabalho;Trabalho;Turno da tarde
Segunda-Feira;18:15;19:15;1h00;Academia;Saúde;Treino de 1 hora na volta do trabalho
Segunda-Feira;19:15;19:35;0h20;Deslocamento;Deslocamento;Caminhada para casa
Segunda-Feira;19:35;20:30;0h55;Banho e Janta;Pessoal;Banho e refeição da noite
Segunda-Feira;20:30;22:30;2h00;Faculdade EAD;Estudos;Estudo teórico de Ciências Contábeis
Segunda-Feira;22:30;23:00;0h30;Organização;Pessoal;Organização pessoal
Segunda-Feira;23:00;00:30;1h30;Namorada;Relacionamento;Visita e ligação
Segunda-Feira;00:45;07:00;6h15;Dormir;Descanso;Descanso noturno

Terça-Feira;07:30;08:30;1h00;Acordar;Pessoal;Café da manhã
Terça-Feira;08:30;10:00;1h30;Academia;Saúde;Ida a pé, 1h de treino e volta
Terça-Feira;10:00;10:45;0h45;Banho;Saúde;Banho e lanche pós-treino
Terça-Feira;10:50;11:30;0h40;Almoço;Alimentação;Pegar marmita e almoçar às 11h
Terça-Feira;11:30;13:00;1h30;Faculdade EAD;Estudos;Disciplinas teóricas
Terça-Feira;13:00;14:15;1h15;Curso Prático;Estudos;Prática contábil e planilhas
Terça-Feira;14:30;15:00;0h30;Deslocamento;Deslocamento;Caminhada para o trabalho
Terça-Feira;15:00;21:00;6h00;Trabalho;Trabalho;Turno das 15h às 21h
Terça-Feira;21:00;21:25;0h25;Deslocamento;Deslocamento;Volta para casa a pé
Terça-Feira;21:30;22:45;1h15;Banho e Janta;Alimentação;Segunda marmita e descanso
Terça-Feira;23:00;00:30;1h30;Namorada;Relacionamento;Visita e ligação
